,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
224,Ichiko Aoba,watashi no nusubito,5OSoisyT5dmJIKOtbPcJX6,21,2012,acoustic,0.435,0.0317,3,-19.044,1,0.0377,0.992,0.00311,0.109,0.0562,133.427,311587,4
225,Josh Garrels,Processional (Mason Jar Remix),2oOp14OYYhDVnw1aCzYDAr,18,2012,acoustic,0.502,0.217,2,-12.186,1,0.0342,0.968,0.433,0.11,0.174,150.054,240621,3
226,Frank Turner,I Still Believe,7Gn3EmzREuZ8ORkZQk4e9Z,21,2012,acoustic,0.618,0.85,0,-4.992,1,0.042,0.0604,0.0,0.177,0.5,99.182,225133,4
227,Jack Savoretti,Take Me Home,0ALRetjPWxaoFSMrDIuS87,37,2012,acoustic,0.686,0.656,7,-8.573,1,0.0298,0.00712,1.2e-05,0.0755,0.469,131.856,235880,4
228,AJJ,Sense & Sensibility,0dEXaj5bknMei0OtrVr7h9,18,2012,acoustic,0.62,0.624,7,-3.78,1,0.0543,0.779,0.0,0.328,0.865,135.172,129000,4
229,AJJ,Fortune Teller,5WwINFDBAGJVYeDtWNryZC,18,2012,acoustic,0.612,0.614,7,-7.972,1,0.0477,0.306,0.0,0.534,0.387,93.238,144200,4
230,Jason Reeves,You're My Best Friend,2KPf8nsCIjxVZtWOiKM5VK,21,2012,acoustic,0.583,0.393,9,-10.323,1,0.0338,0.858,2.3e-06,0.0971,0.151,121.723,283653,4
231,Steve Petrunak,O Holy Night,55mvDKNrwfLmWwCamCVqYr,18,2012,acoustic,0.413,0.125,7,-15.754,1,0.0479,0.971,0.886,0.111,0.185,97.967,226200,3
232,Sanders Bohlke,My Baby,012CS1QIhUjjRctJwZasSx,21,2012,acoustic,0.487,0.498,2,-9.091,0,0.0433,0.014,0.00608,0.115,0.39,110.675,171853,4
233,Joey Cape,Know It All,7hR6iEUjUzwF3gK0MIM9Wo,24,2012,acoustic,0.664,0.607,10,-4.859,1,0.0392,0.671,0.0,0.0785,0.744,147.071,202720,4
234,Ingrid Michaelson,End Of The World,2rH8Q0gCdQElBuXac1S20P,18,2012,acoustic,0.563,0.414,10,-7.295,1,0.0275,0.0454,0.0165,0.111,0.134,108.024,224867,3
235,Ingrid Michaelson,This Is War,14GM81g9tm098DQZt2T634,18,2012,acoustic,0.652,0.898,8,-4.844,1,0.0698,0.083,0.00797,0.104,0.65,156.952,199227,4
236,Mark Lanegan,Harborview Hospital,6Cn5R9nEEliMDrwScAFZfX,28,2012,acoustic,0.208,0.806,10,-6.785,1,0.045,0.000135,0.19,0.0996,0.421,108.738,271333,4
237,AJJ,If Jeff Swiney Had a Hammer,5tuV2nTMHAyCu9EwcNUeZa,18,2012,acoustic,0.535,0.939,0,-4.047,1,0.106,0.00944,2.01e-05,0.271,0.665,111.116,77280,4
238,Boyce Avenue,Mean,2QoNc4MbHYq9YHZiB006cP,29,2012,acoustic,0.461,0.425,8,-6.974,1,0.0298,0.66,0.0,0.367,0.378,81.758,240159,4
239,Tristan Prettyman,Never Say Never,3fEL4Hq56pcTkYvpY46XhO,16,2012,acoustic,0.584,0.352,11,-11.333,1,0.033,0.509,0.00695,0.135,0.227,81.927,354400,4
240,Eric Bibb,On My Way To Bamako,7FBgu3BtKRZgwaQnxTr7RY,19,2012,acoustic,0.632,0.328,0,-12.0,1,0.032,0.795,0.000441,0.115,0.793,91.986,195093,4
241,Jack Savoretti,Breaking the Rules,3lxZsowcDLsagnpwYNXSfE,36,2012,acoustic,0.59,0.652,11,-5.702,0,0.0245,0.0956,0.0,0.295,0.398,146.014,214493,4
242,Tim Myers,A Beautiful World,19nbrRzEM0ldFwbqO0KsZI,22,2012,acoustic,0.534,0.413,11,-9.701,0,0.0289,0.167,1.94e-06,0.147,0.329,138.135,205613,4
243,Ingrid Michaelson,Black & Blue,7uTVsNFHMTc8yKYSzh0LX8,18,2012,acoustic,0.683,0.768,0,-4.617,1,0.0732,0.0575,5.43e-05,0.0712,0.692,175.042,217187,4
244,Ingrid Michaelson,Ribbons,7zP7eHb33ROL6KwkFIeBHc,18,2012,acoustic,0.659,0.532,6,-6.099,1,0.0293,0.0723,4.26e-05,0.115,0.368,143.025,207120,4
245,Kris Allen,Fighters,6agssQSBqSqPvg5xepe7T0,20,2012,acoustic,0.577,0.692,7,-5.598,1,0.0292,0.00613,0.0,0.0801,0.668,92.986,181560,4
246,NEEDTOBREATHE,Disaster Road,4dB6Mqi2IeH5CEA6dvZhDK,17,2012,acoustic,0.487,0.582,9,-7.653,1,0.0265,0.786,0.0284,0.081,0.357,92.933,271044,4
247,Elenowen,Head To My Heart,737H81c1MA45V8gllE6ESp,21,2012,acoustic,0.541,0.55,1,-7.425,1,0.0391,0.513,0.000647,0.114,0.242,114.018,216703,4
248,Boyce Avenue,I Look to You,6utb05mq8V4os4e8JdLGvN,29,2012,acoustic,0.344,0.309,11,-9.897,1,0.0317,0.851,1.02e-05,0.11,0.339,109.903,275166,4
